Vpn Filter,TP,FP,FN,Total,FPR,FNR,Precision,Recall,F1,Entry Node Identified - Host 1,Entry Node Identified - Host 2
1-feature-top2,10,394,0,404,0.9752,0.0000,0.0248,1.0000,0.0483,N,N
1-feature-top4,10,499,0,509,0.9804,0.0000,0.0196,1.0000,0.0385,Y,N
1-feature-top6,10,517,0,527,0.9810,0.0000,0.0190,1.0000,0.0372,Y,N
1-feature-top8,10,535,0,545,0.9817,0.0000,0.0183,1.0000,0.0360,Y,N
1-feature-top10,10,612,0,622,0.9839,0.0000,0.0161,1.0000,0.0316,Y,N
1-feature-top12,10,645,0,655,0.9847,0.0000,0.0153,1.0000,0.0301,Y,Y
3-feature-top2,10,394,0,404,0.9752,0.0000,0.0248,1.0000,0.0483,N,N
3-feature-top4,10,540,0,550,0.9818,0.0000,0.0182,1.0000,0.0357,Y,N
3-feature-top6,10,558,0,568,0.9824,0.0000,0.0176,1.0000,0.0346,Y,N
3-feature-top8,10,576,0,586,0.9829,0.0000,0.0171,1.0000,0.0336,Y,N
3-feature-top10,10,594,0,604,0.9834,0.0000,0.0166,1.0000,0.0326,Y,N
3-feature-top12,10,627,0,637,0.9843,0.0000,0.0157,1.0000,0.0309,Y,Y
